Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,134.860001,135.300003,134.580002,135.240005,122.334755,3227700
2016-08-30,134.800003,135.050003,133.630005,134.100006,121.925629,3440600
2016-08-31,133.889999,134.679993,133.600006,134.119995,121.943810,4650600
2016-09-01,134.479996,135.059998,133.660004,134.229996,122.043800,3851800
2016-09-02,134.770004,135.880005,134.550003,135.149994,122.880295,3402600
2016-09-06,134.960007,135.720001,133.880005,134.100006,121.925629,4220400
2016-09-07,133.300003,133.869995,132.160004,132.789993,120.734535,4676000
2016-09-08,131.550003,132.940002,131.119995,131.259995,119.343437,5019600
2016-09-09,130.639999,130.889999,127.730003,127.739998,116.143005,6315000
2016-09-12,126.500000,128.850006,126.000000,128.589996,116.915833,7882600
2016-09-13,127.739998,128.000000,125.430000,125.720001,114.306404,6376300
2016-09-14,125.610001,126.949997,125.570000,126.260002,114.797386,4313900
2016-09-15,125.970001,127.639999,125.709999,126.959999,115.433830,5100700
2016-09-16,127.019997,127.019997,125.699997,126.110001,114.660988,6941200
2016-09-19,126.680000,127.370003,126.169998,126.290001,114.824661,4525400
2016-09-20,126.860001,127.330002,126.330002,126.830002,115.315620,3627100
2016-09-21,127.519997,128.589996,126.550003,128.110001,116.479439,5367400
2016-09-22,128.820007,129.649994,128.720001,128.750000,117.061325,4099700
2016-09-23,128.630005,129.199997,127.790001,127.790001,116.188477,4464700
2016-09-26,127.099998,127.230003,125.349998,125.449997,114.060913,5338500
2016-09-27,125.800003,126.989998,125.360001,126.820000,115.306534,4433600
2016-09-28,127.209999,128.529999,127.059998,128.270004,116.624893,5751100
2016-09-29,128.500000,130.740005,127.910004,127.930000,116.315773,5987500
2016-09-30,127.870003,129.240005,127.629997,128.679993,116.997658,6044600
2016-10-03,128.199997,128.820007,127.970001,128.500000,116.834015,3652700
2016-10-04,128.529999,129.919998,127.949997,128.199997,116.561256,4848600
2016-10-05,128.320007,129.029999,127.519997,127.580002,115.997543,4115400
2016-10-06,126.870003,130.449997,126.430000,130.190002,118.370598,7472400
2016-10-07,129.830002,130.410004,127.879997,128.309998,116.661270,5511900
2016-10-10,128.449997,128.940002,127.250000,127.250000,115.697510,4349700
2016-10-11,126.849998,127.080002,125.459999,125.849998,114.424591,5113900
2016-10-12,125.849998,127.160004,125.709999,126.690002,115.188339,3545900
2016-10-13,126.250000,126.660004,125.169998,126.290001,114.824661,3655700
2016-10-14,126.900002,127.559998,126.419998,126.419998,114.942841,4462100
2016-10-17,126.180000,126.800003,124.879997,125.139999,113.779053,3753000
2016-10-18,126.150002,126.250000,125.150002,125.739998,114.324577,3563300
2016-10-19,125.760002,126.089996,124.510002,125.889999,114.460968,4094800
2016-10-20,125.949997,127.080002,125.570000,126.250000,114.788284,3543200
2016-10-21,125.309998,126.800003,125.250000,126.599998,115.106499,3234100
2016-10-24,127.230003,128.139999,127.230003,127.779999,116.179375,3824800
2016-10-25,126.269997,126.269997,123.290001,123.339996,112.142464,8731900
2016-10-26,122.830002,123.750000,122.400002,122.709999,111.569664,5456100
2016-10-27,122.709999,123.459999,121.849998,122.260002,111.160515,4261600
2016-10-28,122.699997,124.089996,122.209999,123.580002,112.360672,4497700
2016-10-31,123.349998,123.500000,121.620003,122.010002,110.933197,5671500
2016-11-01,121.690002,122.250000,119.199997,119.889999,109.005692,7492600
2016-11-02,119.930000,121.290001,119.820000,120.290001,109.369354,4846000
2016-11-03,120.339996,120.930000,120.080002,120.180000,109.269348,5113500
2016-11-04,120.540001,121.900002,120.059998,120.910004,109.933083,4607600
2016-11-07,122.500000,123.980003,122.309998,123.750000,112.515244,5510400
2016-11-08,123.949997,125.419998,123.599998,124.250000,112.969864,6105900
2016-11-09,120.949997,126.260002,120.320000,126.019997,114.579163,8052500
2016-11-10,126.720001,130.100006,126.510002,129.029999,117.315887,8737000
2016-11-11,129.059998,130.130005,128.720001,129.850006,118.061455,5496100
2016-11-14,130.500000,130.639999,126.940002,127.669998,116.079369,11438500
2016-11-15,127.070000,127.669998,122.919998,124.400002,113.106239,13445400
2016-11-16,123.599998,125.699997,123.279999,125.330002,113.951797,9793400
2016-11-17,125.870003,129.139999,125.699997,128.929993,117.224968,6801200
2016-11-18,128.929993,129.360001,127.720001,128.330002,116.679436,4428900
2016-11-21,128.279999,128.899994,127.410004,128.220001,116.579430,4072100
2016-11-22,128.380005,131.300003,128.380005,130.979996,119.088844,5535800
2016-11-23,131.360001,131.990005,130.860001,131.210007,119.298004,3582700
2016-11-25,131.860001,132.139999,131.070007,131.570007,119.625305,2545800
2016-11-28,131.250000,131.649994,130.169998,130.639999,118.779724,4859000
2016-11-29,130.350006,130.779999,129.250000,129.619995,118.478104,4127100
2016-11-30,129.339996,130.320007,128.809998,129.399994,118.277008,6973800
2016-12-01,129.339996,130.350006,129.000000,129.470001,118.340996,5398700
2016-12-02,129.039993,130.619995,128.910004,129.869995,118.706612,3738300
2016-12-05,130.320007,130.460007,129.559998,129.679993,118.532944,4065400
2016-12-06,130.130005,130.139999,128.679993,128.740005,117.673752,4292600
2016-12-07,128.750000,133.059998,128.750000,132.460007,121.073982,6987300
2016-12-08,132.210007,133.130005,131.580002,132.529999,121.137978,4975400
2016-12-09,132.509995,133.399994,131.100006,133.389999,121.924019,5174600
2016-12-12,133.130005,134.660004,133.130005,134.580002,123.011749,6276500
2016-12-13,134.550003,136.889999,134.550003,136.539993,124.803253,6886300
2016-12-14,136.050003,136.880005,135.750000,135.979996,124.291382,7036300
2016-12-15,136.509995,137.320007,135.770004,135.839996,124.163437,5839800
2016-12-16,136.110001,136.610001,135.050003,135.110001,123.496193,9429300
2016-12-19,135.059998,136.500000,134.789993,135.440002,123.797813,3463600
2016-12-20,135.649994,137.240005,135.429993,137.110001,125.324272,4301500
2016-12-21,136.929993,137.240005,136.559998,136.830002,125.068344,2704700
2016-12-22,136.250000,137.000000,135.179993,135.429993,123.788681,4094800
2016-12-23,135.649994,135.990005,134.789993,135.050003,123.441353,2337300
2016-12-27,134.759995,135.720001,134.710007,135.259995,123.633308,2254900
2016-12-28,135.570007,135.860001,134.660004,135.070007,123.459633,3369400
2016-12-29,135.020004,135.850006,134.630005,135.100006,123.487053,2777900
2016-12-30,135.639999,135.820007,133.830002,134.080002,122.554741,4149100
2017-01-03,135.100006,135.509995,133.589996,134.309998,122.764938,5299700
2017-01-04,134.339996,135.940002,134.210007,135.500000,123.852661,4055300
2017-01-05,134.979996,135.460007,133.779999,133.899994,122.390190,3821100
2017-01-06,133.970001,134.330002,133.050003,133.529999,122.052002,3827500
2017-01-09,133.220001,134.759995,133.139999,134.309998,122.764938,4310200
2017-01-10,134.000000,136.380005,133.770004,136.100006,124.401085,5928300
2017-01-11,136.100006,136.389999,134.740005,135.699997,124.035477,4643700
2017-01-12,135.509995,135.529999,133.940002,135.070007,123.459633,3600000
2017-01-13,134.919998,135.750000,134.759995,135.039993,123.432198,3117600
2017-01-17,135.089996,136.479996,134.759995,135.929993,124.245697,3976900
2017-01-18,135.899994,136.289993,134.919998,136.160004,124.455925,3869700
2017-01-19,136.000000,136.779999,134.929993,135.389999,123.752121,5078700
2017-01-20,135.259995,136.000000,134.600006,135.600006,123.944077,4853900
2017-01-23,135.309998,138.270004,135.000000,138.070007,126.201775,7056200
2017-01-24,137.880005,138.380005,137.300003,138.059998,126.192619,4055100
2017-01-25,138.449997,139.369995,137.429993,137.479996,125.662453,3631700
2017-01-26,138.009995,139.179993,137.710007,138.460007,126.558250,2931200
2017-01-27,138.800003,138.830002,137.699997,138.330002,126.439423,3149500
2017-01-30,137.990005,138.490005,136.860001,138.470001,126.567390,2705000
2017-01-31,137.630005,138.619995,136.850006,137.580002,125.753853,3227000
2017-02-01,137.660004,137.960007,136.529999,137.440002,125.625916,2968800
2017-02-02,137.470001,137.550003,136.559998,136.949997,125.177994,2197600
